Format Version,1.25,Take Name,Take 2026-08-14 08.59.11 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 08.59.11.625 AM,Capture Start Frame,151764,Total Frames in Take,150,Total Exported Frames,150,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
15,0.125000,-0.000177,-0.000043,0.000352,1.000000,264.033386,26.489206,766.295166,291.947540,25.882294,818.749023,295.433167,27.747763,717.089111,204.719498,25.837559,763.047363,291.979584,25.883759,818.688843,295.376068,27.745102,717.199463,204.741425,25.838610,763.003174,230.363510,713.008850,688.693848,3620.446289,70.473251,-2987.371094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,0.000533,-0.000177,0.000965,0.999999,264.011536,26.463259,766.338074,291.912445,25.816038,818.798401,295.422913,27.830189,717.142212,204.699371,25.743549,763.073303,291.956329,25.817915,818.730957,295.361633,27.826927,717.270020,204.713211,25.744738,763.020874,230.376297,712.980347,688.720032,3620.315674,70.554703,-2987.458984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.000064,-0.000056,0.000779,1.000000,263.989899,26.446032,766.324585,291.903229,25.837729,818.778809,295.389862,27.755093,717.119934,204.676666,25.745274,763.074890,291.930664,25.838501,818.756165,295.371368,27.753948,717.168518,204.667542,25.745619,763.049866,230.336197,712.965576,688.719849,3620.447998,70.326996,-2987.431152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.000266,0.000101,0.000084,1.000000,264.025299,26.459921,766.346436,291.954193,25.847368,818.792358,295.411652,27.692926,717.131165,204.710159,25.839466,763.115723,291.945892,25.847393,818.785767,295.423798,27.693140,717.126282,204.706253,25.839231,763.127197,230.349640,712.993469,688.754883,3620.104736,70.630592,-2987.504395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.000170,-0.000273,0.001028,1.000000,264.030121,26.427755,766.348206,291.920929,25.822193,818.814453,295.450867,27.762934,717.157471,204.718674,25.698139,763.072510,291.959778,25.823212,818.787659,295.425262,27.761425,717.221130,204.704987,25.698593,763.037292,230.372238,712.982483,688.774231,3620.600342,70.063728,-2987.374023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.000030,-0.000205,0.001110,0.999999,263.998993,26.433287,766.334290,291.897064,25.853283,818.796936,295.412781,27.753857,717.138794,204.687210,25.692722,763.067017,291.935699,25.853901,818.791992,295.393005,27.752882,717.177429,204.668182,25.693073,763.033508,230.325989,712.952087,688.740662,3620.205322,70.426102,-2987.462891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.000383,-0.000245,0.000978,0.999999,263.962952,26.473442,766.324280,291.856720,25.842699,818.788635,295.381012,27.826454,717.132385,204.651245,25.751173,763.051697,291.890900,25.843584,818.765381,295.369415,27.825359,717.182068,204.628586,25.751366,763.025940,230.338654,713.011597,688.761536,3620.280518,70.276703,-2987.470215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.000212,-0.000451,0.000942,1.000000,263.950653,26.485739,766.313782,291.822754,25.870930,818.789856,295.389038,27.819628,717.134338,204.640244,25.766657,763.017029,291.862335,25.871273,818.799500,295.369507,27.818903,717.159241,204.620316,25.767046,762.982422,230.355804,712.984009,688.768860,3620.446045,70.024963,-2987.332520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.000716,-0.000329,0.000799,0.999999,263.935455,26.510778,766.338928,291.820129,25.835075,818.807617,295.362274,27.885286,717.153259,204.624039,25.811975,763.055908,291.860962,25.836243,818.774597,295.339294,27.883627,717.222778,204.606003,25.812431,763.021179,230.337830,712.989990,688.792786,3620.171143,70.353027,-2987.408936,,,,,,,2265.952637,1411.126587,-1884.610229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.000798,-0.000353,0.000895,0.999999,263.922363,26.516430,766.332397,291.804749,25.837513,818.802246,295.351196,27.905008,717.148376,204.611237,25.806770,763.046509,291.844788,25.838936,818.756958,295.337891,27.903328,717.224304,204.584747,25.806995,763.017578,230.302139,712.965515,688.816711,3619.796143,70.631546,-2987.484131,,,,,,,2265.966064,1411.290283,-1884.568726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
