Format Version,1.25,Take Name,Take 2026-08-14 09.09.35 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 09.09.35.233 AM,Capture Start Frame,226598,Total Frames in Take,138,Total Exported Frames,138,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
19,0.158333,-0.000079,0.000046,-0.000318,1.000000,2306.817871,1287.659058,-1941.348877,2352.486816,1312.869751,-2099.049072,2225.529053,1309.773438,-1889.718750,2342.437500,1240.334229,-1835.278809,2352.479004,1312.875122,-2099.055420,2225.526123,1309.780518,-1889.738281,2342.448730,1240.321655,-1835.252686,,,,2241.108154,1410.804443,-1817.566406,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.000011,-0.000001,-0.000363,1.000000,2306.814209,1287.667358,-1941.346680,2352.500244,1312.902222,-2099.038086,2225.522461,1309.779907,-1889.720093,2342.419922,1240.320435,-1835.281616,2352.495605,1312.915894,-2099.078125,2225.516846,1309.787109,-1889.736084,2342.430420,1240.298828,-1835.224365,,,,2241.439453,1410.095093,-1816.966064,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.000034,-0.000062,-0.000352,1.000000,2306.792969,1287.690674,-1941.334595,2352.497803,1312.933716,-2099.019287,2225.494385,1309.798950,-1889.717041,2342.386475,1240.339478,-1835.267334,2352.488037,1312.950195,-2099.060303,2225.505371,1309.799805,-1889.737183,2342.385010,1240.321899,-1835.205078,,,,2241.737305,1409.456787,-1816.425781,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.000080,-0.000117,-0.000430,1.000000,2306.794189,1287.687622,-1941.341919,2352.520264,1312.938354,-2099.019043,2225.493408,1309.803833,-1889.731201,2342.368896,1240.321167,-1835.275146,2352.496826,1312.960083,-2099.057129,2225.522461,1309.802856,-1889.773193,2342.362549,1240.299561,-1835.192505,,,,2242.005371,1408.882202,-1815.939697,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.000093,-0.000134,-0.000374,1.000000,2306.791504,1287.677246,-1941.337891,2352.520264,1312.937134,-2099.012939,2225.486572,1309.783081,-1889.729492,2342.367920,1240.312012,-1835.271118,2352.503662,1312.957886,-2099.058105,2225.509033,1309.781616,-1889.759766,2342.361572,1240.291992,-1835.193604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.000067,0.000203,-0.000605,1.000000,2306.792969,1287.654297,-1941.336792,2352.427002,1312.884766,-2099.043945,2225.532959,1309.800293,-1889.674683,2342.418945,1240.278076,-1835.291504,2352.408936,1312.909668,-2099.100342,2225.590332,1309.779663,-1889.694092,2342.379395,1240.273682,-1835.214233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.000145,0.000380,-0.000707,1.000000,2306.795410,1287.662354,-1941.339722,2352.378418,1312.816895,-2099.073730,2225.558350,1309.846924,-1889.658081,2342.449219,1240.323730,-1835.287109,2352.353516,1312.836792,-2099.102539,2225.647705,1309.811768,-1889.677979,2342.386963,1240.338135,-1835.237915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.000344,0.000263,-0.000570,1.000000,2306.760986,1287.633057,-1941.353760,2352.374268,1312.737061,-2099.087158,2225.505859,1309.815918,-1889.700073,2342.403076,1240.346436,-1835.273926,2352.337402,1312.753906,-2099.086670,2225.588379,1309.792236,-1889.748779,2342.360596,1240.352295,-1835.226929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.000487,0.000235,-0.000235,1.000000,2306.746582,1287.632568,-1941.371216,2352.351562,1312.722046,-2099.109131,2225.473633,1309.775757,-1889.728271,2342.414062,1240.400146,-1835.275879,2352.336182,1312.733276,-2099.122803,2225.520264,1309.759033,-1889.744385,2342.384033,1240.405396,-1835.246460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.000400,0.000354,-0.000386,1.000000,2306.765137,1287.642944,-1941.354980,2352.340332,1312.746216,-2099.099365,2225.510986,1309.801636,-1889.688965,2342.443848,1240.381470,-1835.276367,2352.328125,1312.752808,-2099.103516,2225.585938,1309.765747,-1889.683594,2342.382324,1240.409912,-1835.277832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.000312,0.000414,-0.000576,1.000000,2306.798340,1287.646851,-1941.346436,2352.364258,1312.760498,-2099.092041,2225.559326,1309.827271,-1889.666626,2342.472168,1240.353149,-1835.280396,2352.352783,1312.769897,-2099.105713,2225.631348,1309.792969,-1889.661743,2342.413086,1240.377441,-1835.271118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.000040,0.000222,-0.000551,1.000000,2306.835938,1287.693848,-1941.354736,2352.461182,1312.895630,-2099.069092,2225.575439,1309.842163,-1889.694214,2342.470947,1240.344116,-1835.300781,2352.448486,1312.902588,-2099.072754,2225.648193,1309.807983,-1889.691528,2342.413086,1240.370361,-1835.299805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,0.000183,0.000027,-0.000350,1.000000,2306.835938,1287.703247,-1941.367188,2352.512695,1312.993652,-2099.052490,2225.546631,1309.795898,-1889.728516,2342.448730,1240.320557,-1835.320312,2352.505371,1312.997925,-2099.055420,2225.566895,1309.788574,-1889.735718,2342.435303,1240.323608,-1835.310303,,,,,,,2240.817627,1411.513794,-1817.544312,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,0.000199,0.000112,-0.000315,1.000000,2306.807617,1287.681030,-1941.374146,2352.455322,1312.979614,-2099.066406,2225.525391,1309.766235,-1889.720947,2342.441895,1240.297363,-1835.334961,2352.456543,1312.992554,-2099.112305,2225.516846,1309.771729,-1889.726196,2342.449463,1240.278564,-1835.283569,,,,,,,2241.447998,1410.114990,-1816.945312,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,0.000168,-0.000008,-0.000450,1.000000,2306.815430,1287.645142,-1941.352539,2352.508057,1312.921631,-2099.035156,2225.526855,1309.755493,-1889.720215,2342.411377,1240.258545,-1835.301758,2352.498047,1312.928589,-2099.043457,2225.516846,1309.768188,-1889.748291,2342.431396,1240.238647,-1835.265259,,,,,,,2242.015137,1408.856201,-1816.406250,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,0.000171,0.000030,-0.000522,1.000000,2306.812744,1287.650024,-1941.343628,2352.496826,1312.920654,-2099.029785,2225.531250,1309.771851,-1889.704956,2342.409912,1240.257568,-1835.296021,2352.482422,1312.928955,-2099.034668,2225.529297,1309.782959,-1889.739990,2342.427002,1240.237915,-1835.255859,,,,,,,2242.525635,1407.723145,-1815.921143,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,0.000086,0.000065,-0.000531,1.000000,2306.822021,1287.656128,-1941.333008,2352.495850,1312.899292,-2099.026611,2225.544678,1309.788208,-1889.692505,2342.425781,1240.281250,-1835.279785,2352.481934,1312.905396,-2099.025635,2225.531738,1309.805176,-1889.731079,2342.453125,1240.257568,-1835.242310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,0.000101,0.000064,-0.000570,1.000000,2306.832520,1287.636841,-1941.329224,2352.508789,1312.881226,-2099.021973,2225.556641,1309.773682,-1889.688232,2342.432373,1240.255981,-1835.277344,2352.478760,1312.886841,-2098.993896,2225.545654,1309.800049,-1889.760864,2342.473633,1240.224365,-1835.234619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,0.000049,0.000099,-0.000556,1.000000,2306.825928,1287.643433,-1941.344604,2352.489990,1312.872803,-2099.043213,2225.552979,1309.783325,-1889.700073,2342.434570,1240.274536,-1835.290283,2352.468018,1312.881226,-2099.037109,2225.541748,1309.805176,-1889.756958,2342.469482,1240.243774,-1835.239624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,0.000093,0.000083,-0.000476,1.000000,2306.835938,1287.640015,-1941.354492,2352.501221,1312.890381,-2099.049316,2225.557861,1309.762329,-1889.710693,2342.448730,1240.267456,-1835.303223,2352.488525,1312.898926,-2099.059326,2225.545410,1309.778198,-1889.745972,2342.474121,1240.242310,-1835.257446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,0.000108,-0.000005,-0.000390,1.000000,2306.824463,1287.669434,-1941.342896,2352.513428,1312.932373,-2099.029053,2225.533447,1309.776367,-1889.712769,2342.426514,1240.299927,-1835.286743,2352.504150,1312.935181,-2099.025391,2225.524414,1309.787109,-1889.736572,2342.444092,1240.285889,-1835.266846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,0.000169,0.000024,-0.000342,1.000000,2306.826660,1287.691895,-1941.350342,2352.503662,1312.978638,-2099.035889,2225.536621,1309.784790,-1889.712769,2342.439453,1240.312866,-1835.302124,2352.498047,1312.988159,-2099.059814,2225.530762,1309.792358,-1889.729858,2342.451172,1240.295410,-1835.260376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,0.000158,0.000018,-0.000413,1.000000,2306.837158,1287.673218,-1941.347168,2352.519531,1312.949829,-2099.032959,2225.549805,1309.778687,-1889.710938,2342.442139,1240.291504,-1835.297363,2352.505615,1312.960449,-2099.047607,2225.553467,1309.785889,-1889.741821,2342.452148,1240.273071,-1835.250977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,0.000163,0.000037,-0.000407,1.000000,2306.827393,1287.649658,-1941.332520,2352.503418,1312.928467,-2099.019775,2225.541504,1309.753540,-1889.693115,2342.436768,1240.267212,-1835.284668,2352.492920,1312.936401,-2099.030273,2225.535645,1309.764282,-1889.720703,2342.453369,1240.248169,-1835.245972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,0.000227,0.000047,-0.000554,1.000000,2306.821533,1287.628296,-1941.328247,2352.502197,1312.913818,-2099.013184,2225.543213,1309.749634,-1889.684448,2342.419434,1240.221802,-1835.287109,2352.495117,1312.924927,-2099.040039,2225.520508,1309.768555,-1889.713501,2342.450195,1240.190796,-1835.229614,,,,,,,,,,2240.833008,1411.513428,-1817.562012,,,,,,,,,,,,,,,,,,,,,
44,0.366667,0.000167,0.000023,-0.000600,1.000000,2306.815918,1287.635376,-1941.315918,2352.506348,1312.897949,-2099.001709,2225.537109,1309.770142,-1889.678589,2342.404053,1240.238159,-1835.267456,2352.486816,1312.909424,-2099.010010,2225.541504,1309.780884,-1889.722290,2342.420166,1240.215454,-1835.214844,,,,,,,,,,2241.470459,1410.126587,-1816.949341,,,,,,,,,,,,,,,,,,,,,
45,0.375000,0.000109,0.000021,-0.000547,1.000000,2306.811523,1287.623047,-1941.302490,2352.500000,1312.872070,-2098.990967,2225.530273,1309.755371,-1889.668091,2342.404297,1240.242065,-1835.248291,2352.475830,1312.890137,-2099.015625,2225.542480,1309.764648,-1889.719238,2342.416992,1240.213379,-1835.170166,,,,,,,,,,2242.044189,1408.878418,-1816.398071,,,,,,,,,,,,,,,,,,,,,
46,0.383333,0.000085,-0.000003,-0.000439,1.000000,2306.813721,1287.649292,-1941.322998,2352.503906,1312.900513,-2099.010498,2225.525146,1309.766357,-1889.693481,2342.411865,1240.281250,-1835.264893,2352.482422,1312.917969,-2099.036865,2225.546143,1309.769043,-1889.735352,2342.412842,1240.260132,-1835.195068,,,,,,,,,,2242.560303,1407.755005,-1815.901733,,,,,,,,,,,,,,,,,,,,,
47,0.391667,0.000125,-0.000086,-0.000274,1.000000,2306.820312,1287.677979,-1941.334351,2352.528809,1312.956909,-2099.012207,2225.516113,1309.764282,-1889.716675,2342.416504,1240.313232,-1835.273926,2352.507080,1312.978394,-2099.051514,2225.543945,1309.763062,-1889.756348,2342.410156,1240.292236,-1835.192871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,0.000209,-0.000060,-0.000279,1.000000,2306.815186,1287.660156,-1941.334839,2352.515381,1312.965332,-2099.010742,2225.513672,1309.738525,-1889.709106,2342.416260,1240.276978,-1835.284302,2352.513916,1312.990356,-2099.093994,2225.528076,1309.732788,-1889.712402,2342.402344,1240.257812,-1835.197754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408333,0.000091,-0.000046,-0.000272,1.000000,2306.827881,1287.675171,-1941.339355,2352.523682,1312.943726,-2099.022705,2225.527588,1309.764648,-1889.716675,2342.432617,1240.317505,-1835.278809,2352.511719,1312.961670,-2099.065430,2225.542725,1309.764160,-1889.739258,2342.428711,1240.299316,-1835.211304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
